basin_id,Area_sqkm,Perimeter_km,Stream_Freq,Drain_Density,Relief_m,Mean_Slope
24,0.016261842626553277,0.5982111489657844,61.4936463821844,29.202107380298653,90.0,77.21052631578948
4,2411.044106042713,386.2536295046629,0.052259516814400345,0.23814860407916444,306.0,3.9757856756576455
16,5008.908730577109,622.0266767021914,0.4000871462812831,0.19204642511593378,102.0,11.571773173201697
23,0.007696647854995063,0.40693323515726704,129.92669261216207,52.87148505368648,77.0,87.11111111111111
28,0.006852514832139553,0.35166305428927963,145.93182568679987,51.31885212356625,52.0,86.5
25,0.011128844268946851,0.46278095517101564,89.85659030114475,47.116808261858395,67.0,83.61538461538461
11,9506.09530954911,466.2373704698783,0.011781914272150544,0.03591159291285959,225.0,1.2517567229415776
26,0.012885735592294854,0.5194038558275121,77.60519318726044,40.308436573702046,90.0,85.66666666666667
27,1.3948406146450452,7.791217863471889,3.5846389526536586,2.3031722470742877,86.0,62.788140827671405
19,0.013760277055244005,0.5256482302604725,72.67295534713836,40.230991813727044,81.0,85.375
21,0.012095415285447293,0.5212468598590327,82.67595418597648,33.82794285093013,93.0,83.0
8,3919.431783261817,550.6644098422813,0.09159490963285351,0.2784339111268377,269.0,9.528853719264799
17,0.01550350576129114,0.5764708231443533,64.50154019336588,37.54285885054099,92.0,86.22222222222223
29,0.01039306755892117,0.47139220248621044,96.21798322109655,34.017352765686404,57.0,79.25
20,2684.1427949679737,468.85584131568703,0.8002554871621982,0.6605617162247652,249.0,46.77650758975183
30,0.33564568599368755,3.526922712400699,2.979332199785243,1.2216525405745635,32.0,45.47286821705426
5,661.971118528017,176.68632383530735,0.2432130277194048,0.4301464597714805,185.0,10.354791694987922
7,1676.8966766305161,303.0382758143805,0.008945094953697656,0.13743756523633543,136.0,10.302202140839716
6,3401.8418295665056,424.85407721607805,0.10464919235982376,0.24662389187901726,248.0,5.411611443486055
2,2233.2080777531214,299.85832850584734,0.009851298774691283,0.11653397802848517,106.0,14.616497634535202
15,41082.93337142489,1669.2431553603478,0.7106844035705562,0.31911722210077825,475.0,41.677714662332015
22,1776.5857631120334,407.08719059404774,1.7702494668711768,0.6546747847709926,263.0,52.408366593423395
14,40865.89006599016,1967.4734723373954,0.7132109432324879,0.5318150242035115,450.0,44.486063334248385
13,3753.355098870913,399.78540404231177,0.07619849240644316,0.09450682073428542,225.0,6.95934062350914
1,6623.470421317541,541.3156572362058,0.19612075201833587,0.17017419803029846,379.0,9.713921833102772
9,3851.8841135033363,369.7805907581987,0.024663254968383855,0.10647083268194335,161.0,2.0651431141673653
10,1422.2561630880957,322.3103792435944,0.24819720185535585,0.300342280132035,228.0,8.703531897556864
3,1977.8478727714398,288.4919071178242,0.015168001752310098,0.14628590919126053,119.0,1.823208118174985
18,3174.33228911129,605.8220251746934,0.7233017185616714,0.37792372843493854,243.0,50.085845353968395
12,1545.154501366247,268.1837525779293,0.08413398134947166,0.1939718804759801,208.0,15.672795716045744
